from: ,SS+28 9357 A,to: ,SS-22 4654 B,label: ,8.9,color:,#b3b300
from: ,HC+25 1902 A,to: ,DK+21 6825A,label: ,8.77,color:,#b3b300
from: ,Oneil 723  A,to: ,SS-22 4654 A,label: ,8.24,color:,#b3b300
from: ,SS-22 4654 B,to: ,SS+28 9357 A,label: ,8.9,color:,#b3b300
from: ,SS-22 4654 B,to: ,Oneil 723  A,label: ,8.24,color:,#b3b300
from: ,SS-22 4654 B,to: ,BK-1 1423 ,label: ,8.95,color:,#b3b300
from: ,DK-26 2485 A,to: ,BK-5 9201 A,label: ,8.22,color:,#b3b300
from: ,SS-19 2424  A,to: ,HC+31 8213 A,label: ,8.5,color:,#b3b300
from: ,DM-21 5081 A,to: ,L 850-62 A,label: ,8.61,color:,#b3b300
from: ,DM-1 3474 A,to: ,AC+3 2528-176 A,label: ,8.49,color:,#b3b300
from: ,HC-4 9701 Kaa'a'ah A,to: ,BK-2 0075 ,label: ,8.9,color:,#b3b300
from: ,Delta Aquilae B,to: ,DM+2 4076 A,label: ,8.12,color:,#b3b300
from: ,L 850-62 A,to: ,DM-18 4986 A,label: ,8.17,color:,#b3b300
from: ,L 850-62 A,to: ,DM-21 5081 A,label: ,8.61,color:,#b3b300
from: ,DM+7 4052 A,to: ,DM+5 3993 A,label: ,8.4,color:,#b3b300
from: ,BK-2 0075 ,to: ,HC-4 9701 Kaa'a'ah A,label: ,8.9,color:,#b3b300
from: ,BK-1 1423 ,to: ,SS-22 4654 B,label: ,8.95,color:,#b3b300
from: ,BK-1 1423 ,to: ,BK+7 5675 A,label: ,8.82,color:,#b3b300
from: ,Chien 414  A,to: ,Chien 820  A,label: ,8.45,color:,#b3b300
from: ,DM+3 3465 A,to: ,DM+5 3409 A,label: ,8.53,color:,#b3b300
from: ,AC+16 247-80 A,to: ,DM+15 3364 A,label: ,8.99,color:,#b3b300
from: ,BK+7 5675 A,to: ,BK+15 3434 A,label: ,8.58,color:,#b3b300
from: ,BK+7 5675 A,to: ,BK-1 1423 ,label: ,8.82,color:,#b3b300
from: ,DM+4 4157 A,to: ,L 997-21 A,label: ,8.25,color:,#b3b300
from: ,HC-6 2111,to: ,Chien 414  A,label: ,8.22,color:,#b3b300
from: ,DM+25 3719 A,to: ,DM+31 3767 A,label: ,8.23,color:,#b3b300
from: ,AC+13 1185-145 A,to: ,DM+2 4076 A,label: ,8.68,color:,#b3b300
